occupation,filename,file,method,page_count,char_count,status,error
ACCOUNTANT,10554236.pdf,..\Dataset\ACCOUNTANT\10554236.pdf,native_pdfplumber,5,24232,ok,
ACCOUNTANT,10674770.pdf,..\Dataset\ACCOUNTANT\10674770.pdf,native_pdfplumber,2,7519,ok,
ACCOUNTANT,11163645.pdf,..\Dataset\ACCOUNTANT\11163645.pdf,native_pdfplumber,2,4773,ok,
ACCOUNTANT,11759079.pdf,..\Dataset\ACCOUNTANT\11759079.pdf,native_pdfplumber,2,5948,ok,
ACCOUNTANT,12065211.pdf,..\Dataset\ACCOUNTANT\12065211.pdf,native_pdfplumber,2,5592,ok,
ACCOUNTANT,12202337.pdf,..\Dataset\ACCOUNTANT\12202337.pdf,native_pdfplumber,2,5258,ok,
ACCOUNTANT,12338274.pdf,..\Dataset\ACCOUNTANT\12338274.pdf,native_pdfplumber,2,5880,ok,
ACCOUNTANT,12442909.pdf,..\Dataset\ACCOUNTANT\12442909.pdf,native_pdfplumber,2,4852,ok,
ACCOUNTANT,12780508.pdf,..\Dataset\ACCOUNTANT\12780508.pdf,native_pdfplumber,2,7501,ok,
ACCOUNTANT,12802330.pdf,..\Dataset\ACCOUNTANT\12802330.pdf,native_pdfplumber,2,6440,ok,
ACCOUNTANT,13072019.pdf,..\Dataset\ACCOUNTANT\13072019.pdf,native_pdfplumber,2,6087,ok,
ACCOUNTANT,13130984.pdf,..\Dataset\ACCOUNTANT\13130984.pdf,native_pdfplumber,1,4059,ok,
ACCOUNTANT,13294301.pdf,..\Dataset\ACCOUNTANT\13294301.pdf,native_pdfplumber,2,4767,ok,
ACCOUNTANT,13491889.pdf,..\Dataset\ACCOUNTANT\13491889.pdf,native_pdfplumber,2,5007,ok,
ACCOUNTANT,13701259.pdf,..\Dataset\ACCOUNTANT\13701259.pdf,native_pdfplumber,2,6640,ok,
ACCOUNTANT,14055988.pdf,..\Dataset\ACCOUNTANT\14055988.pdf,native_pdfplumber,2,4732,ok,
ACCOUNTANT,14126433.pdf,..\Dataset\ACCOUNTANT\14126433.pdf,native_pdfplumber,2,6305,ok,
ACCOUNTANT,14224370.pdf,..\Dataset\ACCOUNTANT\14224370.pdf,native_pdfplumber,1,3130,ok,
ACCOUNTANT,14449423.pdf,..\Dataset\ACCOUNTANT\14449423.pdf,native_pdfplumber,2,7523,ok,
ACCOUNTANT,14470533.pdf,..\Dataset\ACCOUNTANT\14470533.pdf,native_pdfplumber,1,6324,ok,
ACCOUNTANT,14491649.pdf,..\Dataset\ACCOUNTANT\14491649.pdf,native_pdfplumber,2,5577,ok,
ACCOUNTANT,14496667.pdf,..\Dataset\ACCOUNTANT\14496667.pdf,native_pdfplumber,2,5077,ok,
ACCOUNTANT,15289348.pdf,..\Dataset\ACCOUNTANT\15289348.pdf,native_pdfplumber,3,8594,ok,
ACCOUNTANT,15363277.pdf,..\Dataset\ACCOUNTANT\15363277.pdf,native_pdfplumber,2,6716,ok,
ACCOUNTANT,15592167.pdf,..\Dataset\ACCOUNTANT\15592167.pdf,native_pdfplumber,2,5035,ok,
ACCOUNTANT,15821633.pdf,..\Dataset\ACCOUNTANT\15821633.pdf,native_pdfplumber,2,6437,ok,
ACCOUNTANT,15906625.pdf,..\Dataset\ACCOUNTANT\15906625.pdf,native_pdfplumber,2,5692,ok,
ACCOUNTANT,16237710.pdf,..\Dataset\ACCOUNTANT\16237710.pdf,native_pdfplumber,3,5897,ok,
ACCOUNTANT,17306905.pdf,..\Dataset\ACCOUNTANT\17306905.pdf,native_pdfplumber,4,13145,ok,
ACCOUNTANT,17407184.pdf,..\Dataset\ACCOUNTANT\17407184.pdf,native_pdfplumber,1,5202,ok,
ACCOUNTANT,17556527.pdf,..\Dataset\ACCOUNTANT\17556527.pdf,native_pdfplumber,2,8153,ok,
ACCOUNTANT,18132924.pdf,..\Dataset\ACCOUNTANT\18132924.pdf,native_pdfplumber,2,6509,ok,
ACCOUNTANT,18365791.pdf,..\Dataset\ACCOUNTANT\18365791.pdf,native_pdfplumber,1,1603,ok,
ACCOUNTANT,18569929.pdf,..\Dataset\ACCOUNTANT\18569929.pdf,native_pdfplumber,2,4138,ok,
ACCOUNTANT,18635654.pdf,..\Dataset\ACCOUNTANT\18635654.pdf,native_pdfplumber,2,3372,ok,
ACCOUNTANT,18669563.pdf,..\Dataset\ACCOUNTANT\18669563.pdf,native_pdfplumber,2,4352,ok,
ACCOUNTANT,19446337.pdf,..\Dataset\ACCOUNTANT\19446337.pdf,native_pdfplumber,3,5777,ok,
ACCOUNTANT,19545827.pdf,..\Dataset\ACCOUNTANT\19545827.pdf,native_pdfplumber,2,6784,ok,
ACCOUNTANT,20082776.pdf,..\Dataset\ACCOUNTANT\20082776.pdf,native_pdfplumber,2,5043,ok,
ACCOUNTANT,20253563.pdf,..\Dataset\ACCOUNTANT\20253563.pdf,native_pdfplumber,1,4907,ok,
ACCOUNTANT,20345168.pdf,..\Dataset\ACCOUNTANT\20345168.pdf,native_pdfplumber,1,3550,ok,
ACCOUNTANT,20393721.pdf,..\Dataset\ACCOUNTANT\20393721.pdf,native_pdfplumber,1,5579,ok,
ACCOUNTANT,20624984.pdf,..\Dataset\ACCOUNTANT\20624984.pdf,native_pdfplumber,2,4814,ok,
ACCOUNTANT,21031285.pdf,..\Dataset\ACCOUNTANT\21031285.pdf,native_pdfplumber,2,5648,ok,
ACCOUNTANT,21338490.pdf,..\Dataset\ACCOUNTANT\21338490.pdf,native_pdfplumber,2,5045,ok,
ACCOUNTANT,21763056.pdf,..\Dataset\ACCOUNTANT\21763056.pdf,native_pdfplumber,2,5623,ok,
ACCOUNTANT,21794875.pdf,..\Dataset\ACCOUNTANT\21794875.pdf,native_pdfplumber,2,5914,ok,
ACCOUNTANT,21853199.pdf,..\Dataset\ACCOUNTANT\21853199.pdf,native_pdfplumber,2,5490,ok,
ACCOUNTANT,22465498.pdf,..\Dataset\ACCOUNTANT\22465498.pdf,native_pdfplumber,3,7674,ok,
ACCOUNTANT,22925443.pdf,..\Dataset\ACCOUNTANT\22925443.pdf,native_pdfplumber,3,5130,ok,
ACCOUNTANT,23139819.pdf,..\Dataset\ACCOUNTANT\23139819.pdf,native_pdfplumber,2,6767,ok,
ACCOUNTANT,23246831.pdf,..\Dataset\ACCOUNTANT\23246831.pdf,native_pdfplumber,2,5600,ok,
ACCOUNTANT,23387174.pdf,..\Dataset\ACCOUNTANT\23387174.pdf,native_pdfplumber,2,5924,ok,
ACCOUNTANT,23416654.pdf,..\Dataset\ACCOUNTANT\23416654.pdf,native_pdfplumber,2,5244,ok,
ACCOUNTANT,23438112.pdf,..\Dataset\ACCOUNTANT\23438112.pdf,native_pdfplumber,2,4858,ok,
ACCOUNTANT,23513618.pdf,..\Dataset\ACCOUNTANT\23513618.pdf,native_pdfplumber,2,5782,ok,
ACCOUNTANT,23636277.pdf,..\Dataset\ACCOUNTANT\23636277.pdf,native_pdfplumber,2,6471,ok,
ACCOUNTANT,23734441.pdf,..\Dataset\ACCOUNTANT\23734441.pdf,native_pdfplumber,2,6231,ok,
ACCOUNTANT,24103168.pdf,..\Dataset\ACCOUNTANT\24103168.pdf,native_pdfplumber,2,5110,ok,
ACCOUNTANT,24294778.pdf,..\Dataset\ACCOUNTANT\24294778.pdf,native_pdfplumber,3,9030,ok,
ACCOUNTANT,24703009.pdf,..\Dataset\ACCOUNTANT\24703009.pdf,native_pdfplumber,2,5960,ok,
ACCOUNTANT,24799301.pdf,..\Dataset\ACCOUNTANT\24799301.pdf,native_pdfplumber,1,1045,ok,
ACCOUNTANT,24817041.pdf,..\Dataset\ACCOUNTANT\24817041.pdf,native_pdfplumber,1,1967,ok,
ACCOUNTANT,25067742.pdf,..\Dataset\ACCOUNTANT\25067742.pdf,native_pdfplumber,1,2664,ok,
ACCOUNTANT,25127518.pdf,..\Dataset\ACCOUNTANT\25127518.pdf,native_pdfplumber,2,3425,ok,
ACCOUNTANT,25462793.pdf,..\Dataset\ACCOUNTANT\25462793.pdf,native_pdfplumber,1,3445,ok,
ACCOUNTANT,25547145.pdf,..\Dataset\ACCOUNTANT\25547145.pdf,native_pdfplumber,2,6968,ok,
ACCOUNTANT,25749150.pdf,..\Dataset\ACCOUNTANT\25749150.pdf,native_pdfplumber,2,6084,ok,
ACCOUNTANT,25846894.pdf,..\Dataset\ACCOUNTANT\25846894.pdf,native_pdfplumber,2,6068,ok,
ACCOUNTANT,25862026.pdf,..\Dataset\ACCOUNTANT\25862026.pdf,native_pdfplumber,1,5774,ok,
ACCOUNTANT,25867805.pdf,..\Dataset\ACCOUNTANT\25867805.pdf,native_pdfplumber,2,4663,ok,
ACCOUNTANT,25935030.pdf,..\Dataset\ACCOUNTANT\25935030.pdf,native_pdfplumber,3,5572,ok,
ACCOUNTANT,26065877.pdf,..\Dataset\ACCOUNTANT\26065877.pdf,native_pdfplumber,2,4999,ok,
ACCOUNTANT,26975573.pdf,..\Dataset\ACCOUNTANT\26975573.pdf,native_pdfplumber,2,8571,ok,
ACCOUNTANT,27558837.pdf,..\Dataset\ACCOUNTANT\27558837.pdf,native_pdfplumber,1,4793,ok,
ACCOUNTANT,27573855.pdf,..\Dataset\ACCOUNTANT\27573855.pdf,native_pdfplumber,2,6779,ok,
